palavras;repeticoes
11:18:51+00:00;1
11:18:57+00:00;1
11:20:11+00:00;1
11:22:43+00:00;1
11:23:28+00:00;1
11:25:59+00:00;1
11:26:08+00:00;1
11:26:30+00:00;1
11:27:07+00:00;1
11:30:04+00:00;1
11:32:58+00:00;1
11:33:17+00:00;1
11:35:28+00:00;1
11:35:30+00:00;1
11:40:32+00:00;1
11:40:51+00:00;1
11:47:52+00:00;1
11:49:04+00:00;1
11:50:08+00:00;1
11:53:25+00:00;1
11:53:38+00:00;1
11:56:54+00:00;1
12:02:16+00:00;1
12:09:44+00:00;1
12:10:37+00:00;1
12:11:38+00:00;1
12:11:40+00:00;1
12:13:22+00:00;1
12:19:13+00:00;1
12:27:30+00:00;1
12:27:43+00:00;1
12:29:41+00:00;1
12:30:14+00:00;1
12:30:15+00:00;1
12:30:22+00:00;1
12:31:01+00:00;1
12:40:33+00:00;1
12:46:36+00:00;1
12:47:57+00:00;1
12:48:59+00:00;1
12:50:09+00:00;1
12:51:25+00:00;1
12:53:30+00:00;1
12:55:04+00:00;1
12:56:50+00:00;1
12:58:50+00:00;1
12:59:07+00:00;1
12:59:49+00:00;1
12:59:50+00:00;1
13:00:50+00:00;1
13:02:54+00:00;1
13:03:14+00:00;1
13:06:45+00:00;1
13:07:53+00:00;1
13:09:49+00:00;1
13:10:57+00:00;1
13:17:47+00:00;1
13:21:41+00:00;1
13:23:50+00:00;1
13:25:14+00:00;1
13:27:48+00:00;1
13:33:27+00:00;1
13:33:53+00:00;1
13:34:09+00:00;1
13:34:27+00:00;1
13:35:00+00:00;1
13:35:18+00:00;1
13:36:11+00:00;1
13:39:09+00:00;1
13:45:29+00:00;1
13:48:50+00:00;1
13:49:39+00:00;1
13:53:07+00:00;1
13:55:34+00:00;1
13:57:19+00:00;1
13:57:48+00:00;1
14;1
14:01:04+00:00;1
14:03:15+00:00;1
14:03:33+00:00;1
14:07:25+00:00;1
14:10:56+00:00;1
14:11:22+00:00;1
14:11:38+00:00;1
14:11:58+00:00;1
14:14:21+00:00;1
14:15:42+00:00;1
14:16:14+00:00;1
14:18:15+00:00;1
14:20:09+00:00;1
14:20:57+00:00;1
14:20:58+00:00;1
14:21:05+00:00;1
14:25:30+00:00;1
14:28:20+00:00;1
14:29:03+00:00;1
14:31:57+00:00;1
14:31:58+00:00;1
14:33:32+00:00;1
14:33:51+00:00;1
14:34:26+00:00;1
14:39:17+00:00;1
14:40:19+00:00;1
14:42:06+00:00;1
14:43:28+00:00;1
14:43:44+00:00;1
14:46:43+00:00;1
14:49:25+00:00;1
14:51:00+00:00;1
14:51:08+00:00;1
14:51:16+00:00;1
14:52:08+00:00;1
15:02:33+00:00;1
15:02:37+00:00;1
15:06:06+00:00;1
15:08:00+00:00;1
15:08:48+00:00;1
15:09:21+00:00;1
15:09:25+00:00;1
15:12:21+00:00;1
15:12:54+00:00;1
15:13:36+00:00;1
15:14:48+00:00;1
15:15:02+00:00;1
15:19:17+00:00;1
15:19:18+00:00;1
15:19:52+00:00;1
15:22:22+00:00;1
15:28:57+00:00;1
15:32:59+00:00;1
15:36:16+00:00;1
15:37:51+00:00;1
15:39:06+00:00;1
15:43:25+00:00;1
15:44:17+00:00;1
15:45:12+00:00;1
15:45:24+00:00;1
15:47:56+00:00;1
15:54:12+00:00;1
15:56:18+00:00;1
15:57:02+00:00;1
16:04:36+00:00;1
16:06:13+00:00;1
16:07:43+00:00;1
16:07:52+00:00;1
16:08:15+00:00;1
16:08:20+00:00;1
16:11:55+00:00;1
16:12:57+00:00;1
16:16:03+00:00;1
16:17:20+00:00;1
16:17:28+00:00;1
16:18:41+00:00;1
16:21:49+00:00;1
16:24:16+00:00;1
16:30:26+00:00;1
16:31:50+00:00;1
16:31:51+00:00;1
16:41:28+00:00;1
16:41:33+00:00;1
16:42:25+00:00;1
16:44:15+00:00;1
16:44:43+00:00;1
16:45:06+00:00;1
16:45:53+00:00;1
16:47:29+00:00;1
16:49:29+00:00;1
16:49:54+00:00;1
16:53:10+00:00;1
16:55:14+00:00;1
16:55:48+00:00;1
16:59:09+00:00;1
16:59:32+00:00;1
17:01:00+00:00;1
17:01:59+00:00;1
17:03:59+00:00;1
17:04:28+00:00;1
17:07:58+00:00;1
17:11:46+00:00;1
17:14:11+00:00;1
17:15:23+00:00;1
17:16:22+00:00;1
17:17:28+00:00;1
17:19:25+00:00;1
17:21:16+00:00;1
17:22:53+00:00;1
17:23:57+00:00;1
17:24:01+00:00;1
17:24:53+00:00;1
17:26:22+00:00;1
17:27:31+00:00;1
17:30:42+00:00;1
17:33:09+00:00;1
17:34:10+00:00;1
17:35:42+00:00;1
17:35:46+00:00;1
17:36:00+00:00;1
17:36:45+00:00;1
17:38:59+00:00;1
17:41:34+00:00;1
17:42:00+00:00;1
17:43:36+00:00;1
17:49:45+00:00;1
17:50:29+00:00;1
17:53:59+00:00;1
17:54:12+00:00;1
17:56:33+00:00;1
17:57:05+00:00;1
18:00:55+00:00;1
18:02:30+00:00;1
18:02:46+00:00;1
18:10:31+00:00;1
18:15:15+00:00;1
18:15:50+00:00;1
18:19:11+00:00;1
18:19:46+00:00;1
18:22:21+00:00;1
18:22:51+00:00;1
18:24:15+00:00;1
18:28:14+00:00;1
18:28:43+00:00;1
18:29:44+00:00;1
18:37:01+00:00;1
18:37:14+00:00;1
18:40:34+00:00;1
18:41:33+00:00;1
18:41:53+00:00;1
18:42:13+00:00;1
18:43:04+00:00;1
18:43:18+00:00;1
18:44:09+00:00;1
18:44:36+00:00;1
18:47:14+00:00;1
18:47:44+00:00;1
18:48:07+00:00;1
18:51:01+00:00;1
18:54:58+00:00;1
19:01:19+00:00;1
19:05:08+00:00;1
19:08:25+00:00;1
19:09:59+00:00;1
19:10:09+00:00;1
19:10:15+00:00;1
19:10:33+00:00;1
19:10:38+00:00;1
19:11:42+00:00;1
19:13:44+00:00;1
19:13:59+00:00;1
19:15:23+00:00;1
19:30:25+00:00;1
19:30:47+00:00;1
19:32:27+00:00;1
19:34:13+00:00;1
19:35:21+00:00;1
19:37:12+00:00;1
19:40:46+00:00;1
19:51:21+00:00;1
19:51:27+00:00;1
19:53:01+00:00;1
19:53:04+00:00;1
19:53:12+00:00;1
19:54:39+00:00;1
19:54:50+00:00;1
19:56:25+00:00;1
19:56:29+00:00;1
19:56:49+00:00;1
19:57:24+00:00;1
19:59:00+00:00;1
20:00:45+00:00;1
20:06:33+00:00;1
20:07:06+00:00;1
20:07:58+00:00;1
20:09:10+00:00;1
20:10:38+00:00;1
20:16:13+00:00;1
20:19:39+00:00;1
20:22:01+00:00;1
20:22:35+00:00;1
20:25:11+00:00;1
20:26:45+00:00;1
20:26:46+00:00;1
20:28:03+00:00;1
20:28:04+00:00;1
20:29:38+00:00;1
20:30:43+00:00;1
20:30:45+00:00;1
20:32:14+00:00;1
20:32:17+00:00;1
20:32:34+00:00;1
20:33:42+00:00;1
20:34:29+00:00;1
20:35:23+00:00;1
20:35:54+00:00;1
20:38:07+00:00;1
20:38:59+00:00;1
20:42:34+00:00;1
20:43:26+00:00;1
20:45:12+00:00;1
20:45:57+00:00;1
20:47:16+00:00;1
20:48:10+00:00;1
20:48:14+00:00;1
20:53:11+00:00;1
20:53:12+00:00;1
20:54:00+00:00;1
20:55:01+00:00;1
20:55:28+00:00;1
20:56:11+00:00;1
20:56:31+00:00;1
20:56:46+00:00;1
20:59:11+00:00;1
20:59:32+00:00;1
21:00:51+00:00;1
21:01:15+00:00;1
21:04:59+00:00;1
21:05:12+00:00;1
21:06:46+00:00;1
21:08:19+00:00;1
21:08:35+00:00;1
21:13:53+00:00;1
21:19:30+00:00;1
21:22:31+00:00;1
21:22:43+00:00;1
21:22:54+00:00;1
21:23:07+00:00;1
21:24:36+00:00;1
21:24:46+00:00;1
21:25:05+00:00;1
21:25:06+00:00;1
21:27:16+00:00;1
21:27:33+00:00;1
21:27:34+00:00;1
21:28:41+00:00;1
21:30:22+00:00;1
21:32:39+00:00;1
21:33:36+00:00;1
21:34:43+00:00;1
21:35:36+00:00;1
21:36:30+00:00;1
21:37:32+00:00;1
21:38:19+00:00;1
21:39:57+00:00;1
21:40:16+00:00;1
21:40:52+00:00;1
21:41:19+00:00;1
21:41:37+00:00;1
21:44:02+00:00;1
21:44:25+00:00;1
21:47:15+00:00;1
21:48:34+00:00;1
21:52:14+00:00;1
21:52:16+00:00;1
21:55:32+00:00;1
21:57:24+00:00;1
21:57:42+00:00;1
21:57:59+00:00;1
21:59:14+00:00;1
22:01:50+00:00;1
22:01:56+00:00;1
22:02:05+00:00;1
22:03:05+00:00;1
22:03:21+00:00;1
22:03:41+00:00;1
22:05:43+00:00;1
22:06:28+00:00;1
22:06:37+00:00;1
22:07:29+00:00;1
22:08:30+00:00;1
22:09:04+00:00;1
22:11:01+00:00;1
22:12:12+00:00;1
22:13:23+00:00;1
22:13:25+00:00;1
22:13:50+00:00;1
22:13:57+00:00;1
22:17:05+00:00;1
22:17:23+00:00;1
22:25:09+00:00;1
22:25:29+00:00;1
22:25:51+00:00;1
22:29:08+00:00;1
22:30:03+00:00;1
22:30:23+00:00;1
22:36:09+00:00;1
22:39:09+00:00;1
22:39:52+00:00;1
22:41:16+00:00;1
22:44:20+00:00;1
22:44:54+00:00;1
22:45:19+00:00;1
22:46:26+00:00;1
22:48:58+00:00;1
22:49:19+00:00;1
22:52:00+00:00;1
22:55:51+00:00;1
22:55:58+00:00;1
22:58:50+00:00;1
22:59:09+00:00;1
23:00:06+00:00;1
23:00:32+00:00;1
23:01:20+00:00;1
23:02:15+00:00;1
23:06:14+00:00;1
23:10:57+00:00;1
23:12:06+00:00;1
23:15:07+00:00;1
23:24:52+00:00;1
23:26:17+00:00;1
23:31:09+00:00;1
23:31:11+00:00;1
23:31:23+00:00;1
23:37:56+00:00;1
23:38:08+00:00;1
23:38:42+00:00;1
23:40:40+00:00;1
23:41:48+00:00;1
23:42:25+00:00;1
23:45:39+00:00;1
23:47:17+00:00;1
23:47:19+00:00;1
23:49:33+00:00;1
23:50:36+00:00;1
23:51:53+00:00;1
23:51:54+00:00;1
23:54:35+00:00;1
23:57:49+00:00;1
23:57:57+00:00;1
23:58:25+00:00;1
31;1
333O0O;1
3buzykids;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,73E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,74E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
4,75E+17;1
